Day,Animals,Plants,Free space,Avg lifespan,Avg energy,Avg children count,Most common genome
1,20,8,74,0.0,4.0,0.0,63432542
2,20,9,75,0.0,4.6,0.0,63432542
3,20,10,73,0.0,5.2,0.0,63432542
4,20,14,71,0.0,4.6,0.0,63432542
5,20,16,68,0.0,4.8,0.0,63432542
6,9,18,75,5.0,12.333333,0.0,34761432
7,9,19,75,5.0,14.888889,0.0,34761432
8,9,21,72,5.0,16.555555,0.0,34761432
9,9,21,72,5.0,20.0,0.0,34761432
10,9,23,71,5.0,21.666666,0.0,34761432
11,9,24,70,5.0,24.222221,0.0,34761432
12,9,26,68,5.0,25.88889,0.0,34761432
13,9,28,64,5.0,25.777779,0.0,34761432
14,8,28,68,6.230769,30.125,0.15384616,34761432
15,8,27,68,6.230769,33.125,0.15384616,34761432
16,8,29,66,6.230769,35.125,0.15384616,34761432
17,8,30,65,6.230769,38.125,0.15384616,34761432
18,8,32,63,6.230769,40.125,0.15384616,34761432
19,8,33,63,6.230769,43.125,0.15384616,34761432
20,9,31,66,6.230769,42.77778,0.30769232,34761432
21,9,31,63,6.230769,46.22222,0.30769232,34761432
22,9,31,63,6.230769,49.666668,0.30769232,34761432
23,10,31,63,6.230769,47.8,0.46153846,30105227
24,11,33,60,6.230769,44.0,0.61538464,30105227
25,12,34,61,6.230769,42.083332,0.7692308,30105227
26,14,36,56,6.230769,36.357143,1.0769231,30105227
27,14,35,55,6.230769,38.785713,1.0769231,30105227
28,14,36,54,6.230769,40.07143,1.0769231,30105227
29,16,36,56,6.230769,36.6875,1.3846154,30105227
30,18,36,55,6.230769,33.944443,1.6923077,30105227
31,19,35,53,6.230769,33.736843,1.8461539,30105227
32,19,32,57,6.357143,36.157894,1.7857143,34761432
33,19,32,53,6.357143,37.263157,1.7857143,34761432
34,19,32,54,6.357143,38.36842,1.7857143,34761432
35,21,30,56,6.357143,36.47619,2.0714285,34761432
36,21,31,51,6.357143,37.0,2.0714285,34761432
37,22,33,50,6.357143,35.454544,2.2142856,34761432
38,23,32,53,6.357143,35.04348,2.357143,34761432
39,23,33,52,7.5333333,35.47826,2.2666667,34761432
40,24,31,52,7.5333333,35.375,2.4,34761432
41,25,32,52,7.5333333,34.28,2.5333333,34761432
42,27,33,54,7.5333333,32.0,2.8,34761432
43,28,34,47,7.5333333,31.035715,2.9333334,34761432
44,29,29,50,7.5333333,31.758621,3.0666666,34761432
45,30,29,51,8.5625,31.1,3.0625,34761432
46,27,25,54,11.263158,36.22222,2.4736843,01556271
47,25,27,53,11.333333,39.08,2.0952382,01556271
48,29,27,56,11.333333,34.206898,2.4761906,01556271
49,30,26,56,12.086957,33.766666,2.4782608,01556271
50,33,27,52,12.086957,30.757576,2.7391305,45265514
51,32,25,53,12.4,32.5,2.52,45265514
52,34,26,50,12.538462,30.617647,2.6153846,45265514
53,38,29,50,12.538462,26.921053,2.9230769,45265514
54,39,26,48,12.666667,26.923077,2.8888888,45265514
55,40,25,51,13.071428,26.5,2.7857144,45265514
56,45,24,52,13.172414,23.755556,3.0,45265514
57,48,20,49,13.172414,22.833334,3.2068965,45265514
58,52,16,55,12.83871,21.576923,3.3225806,01622506
59,57,17,51,12.83871,19.333334,3.6451614,01622506
60,59,15,49,12.9375,18.677965,3.6875,01622506
61,64,16,48,12.9375,16.796875,4.0,07071465
62,68,17,46,12.6470585,15.367647,4.029412,07071465
63,72,12,52,12.6470585,14.680555,4.2647057,07071465
64,75,9,51,12.514286,14.0,4.3428574,07071465
65,74,9,44,12.27027,13.743243,4.081081,07071465
66,76,11,42,12.666667,12.75,3.9230769,07071465
67,68,11,44,13.020409,13.867647,2.7142856,07071465
68,67,11,47,12.792453,13.716418,2.528302,07071465
69,67,10,45,12.964286,13.477612,2.357143,07071465
70,62,9,45,14.015873,14.370968,1.8253968,07071465
71,58,10,55,13.724638,14.948276,1.6376811,15325002
